Suhu_DHT22,Kelembapan_DHT22,PPM_MQ135,Gerakan_PIR,Status_Kipas
30.4,40.4,151.7,0,MATI
30.2,42.5,126.4,0,MATI
22.7,51.5,90.7,0,MATI
29.1,56.8,551.5,1,NYALA
22.2,57.9,108.7,0,MATI
30.0,72.9,494.0,0,NYALA
24.0,74.5,472.7,1,NYALA
25.1,57.2,153.5,1,MATI
30.4,46.5,115.0,0,MATI
26.6,65.2,410.6,0,NYALA
23.8,54.3,120.7,0,MATI
25.3,53.2,159.4,1,MATI
31.3,43.2,143.9,0,MATI
30.6,47.1,120.4,0,MATI
28.5,42.3,181.5,1,NYALA
23.9,59.3,183.1,1,MATI
26.5,73.7,597.7,1,NYALA
26.3,73.5,530.4,1,NYALA
29.4,55.9,146.2,1,NYALA
23.4,58.1,166.5,1,MATI
33.5,39.7,147.1,0,MATI
33.1,41.6,130.2,0,MATI
24.6,55.4,143.9,1,MATI
22.7,63.5,106.9,0,MATI
34.4,52.5,135.2,1,NYALA
24.6,53.3,113.9,1,MATI
31.7,54.8,194.5,1,NYALA
29.5,46.2,152.3,1,NYALA
22.1,58.5,133.4,0,MATI
24.9,51.0,153.6,1,MATI
26.7,67.1,475.6,1,NYALA
31.7,48.2,220.3,1,NYALA
