Waktu,Suhu,Kelembapan,Gas_PPM,Gerakan_PIR,Status_Kipas
2026-05-27 23:49:25,36.0,69.7,491.3,1,NYALA
2026-05-27 23:49:28,24.7,48.6,188.78,1,NYALA
2026-05-27 23:49:31,36.2,68.1,547.11,0,NYALA
2026-05-27 23:49:34,24.4,46.4,122.85,0,MATI
2026-05-27 23:49:37,32.3,62.0,318.47,0,NYALA
2026-05-27 23:49:40,34.8,60.7,230.52,0,NYALA
2026-05-27 23:49:43,32.6,71.4,546.61,1,NYALA
2026-05-27 23:49:46,30.2,55.0,455.42,0,NYALA
2026-05-27 23:49:49,30.0,62.2,394.1,0,NYALA
2026-05-27 23:49:52,31.4,60.6,333.96,0,MATI
2026-05-27 23:49:55,24.0,52.3,240.55,0,MATI
2026-05-27 23:49:58,37.6,67.7,142.77,0,NYALA
2026-05-27 23:50:01,35.6,60.7,231.09,0,NYALA
2026-05-27 23:50:04,26.3,58.1,522.61,0,NYALA
2026-05-27 23:50:07,26.0,62.9,196.31,0,MATI
2026-05-27 23:50:10,35.0,66.2,100.22,0,NYALA
2026-05-27 23:50:13,30.1,57.3,443.19,1,NYALA
2026-05-27 23:50:16,24.3,52.1,498.96,0,NYALA
2026-05-27 23:50:19,26.2,66.8,496.97,0,NYALA
2026-05-27 23:50:22,28.9,68.1,497.66,1,NYALA
2026-05-27 23:50:25,27.3,58.1,530.37,0,NYALA
2026-05-27 23:50:28,28.7,66.8,446.54,0,NYALA
2026-05-27 23:50:31,36.3,67.7,268.37,0,NYALA
2026-05-27 23:50:34,30.8,57.4,124.15,0,MATI
2026-05-27 23:50:37,26.8,62.4,510.86,0,NYALA
2026-05-27 23:50:40,36.6,60.3,226.71,0,NYALA
2026-05-27 23:50:43,31.7,51.6,287.81,1,NYALA
2026-05-27 23:50:46,31.0,50.5,374.09,0,NYALA
2026-05-27 23:50:49,35.9,66.4,138.88,1,NYALA
2026-05-27 23:50:52,37.8,63.1,192.45,1,NYALA
2026-05-27 23:50:55,26.1,65.1,468.96,0,NYALA
2026-05-27 23:50:58,26.4,53.7,145.7,0,MATI
2026-05-27 23:51:01,32.6,62.7,528.84,0,NYALA
2026-05-27 23:51:04,27.1,55.9,447.57,0,NYALA
2026-05-27 23:51:07,37.5,62.9,337.9,0,NYALA
2026-05-27 23:51:10,30.7,60.0,436.38,0,NYALA
2026-05-27 23:51:13,29.8,62.1,306.65,0,MATI
2026-05-27 23:51:16,34.7,73.6,532.76,0,NYALA
2026-05-27 23:51:19,30.4,62.1,124.2,1,NYALA
2026-05-27 23:51:22,33.7,52.8,190.55,0,NYALA
2026-05-27 23:51:25,30.7,63.4,205.27,0,MATI
2026-05-27 23:51:28,26.3,64.9,529.09,1,NYALA
2026-05-27 23:51:31,37.6,69.0,180.33,0,NYALA
2026-05-27 23:51:34,32.9,54.8,335.18,0,NYALA
2026-05-27 23:51:37,33.8,55.0,434.94,0,NYALA
2026-05-27 23:51:40,27.5,63.3,536.53,1,NYALA
2026-05-27 23:51:43,31.2,62.9,325.84,0,MATI
2026-05-27 23:51:46,32.4,50.1,361.63,1,NYALA
2026-05-27 23:51:49,26.8,57.7,135.03,0,MATI
2026-05-27 23:51:52,27.0,59.6,421.95,0,NYALA
2026-05-27 23:51:55,37.5,61.2,373.22,0,NYALA
2026-05-27 23:51:58,36.9,63.4,263.32,1,NYALA
2026-05-27 23:52:01,32.6,64.1,339.38,0,NYALA
2026-05-27 23:52:04,25.6,48.2,326.07,0,MATI
2026-05-27 23:52:07,33.2,64.0,417.7,0,NYALA
2026-05-27 23:52:10,33.3,55.5,266.58,0,NYALA
2026-05-27 23:52:13,35.1,69.7,186.73,0,NYALA
2026-05-27 23:52:16,27.6,64.4,287.61,1,NYALA
2026-05-27 23:52:19,26.6,53.8,183.8,1,NYALA
2026-05-27 23:52:22,27.3,57.5,357.18,0,MATI
2026-05-27 23:52:25,37.9,63.0,211.46,1,NYALA
2026-05-27 23:52:28,31.0,56.5,485.89,0,NYALA
2026-05-27 23:52:31,25.1,51.1,224.6,0,MATI
2026-05-27 23:52:34,27.3,59.8,536.66,1,NYALA
2026-05-27 23:52:37,29.8,54.2,292.82,0,MATI
2026-05-27 23:52:40,24.1,54.1,212.11,0,MATI
2026-05-27 23:52:43,28.3,53.6,391.04,0,NYALA
2026-05-27 23:52:46,30.4,52.2,214.57,0,MATI
2026-05-27 23:52:49,28.6,57.3,237.21,1,NYALA
2026-05-27 23:52:52,29.2,64.8,177.0,1,NYALA
2026-05-27 23:52:55,27.7,53.6,335.47,0,MATI
2026-05-27 23:52:58,37.8,66.7,212.43,1,NYALA
2026-05-27 23:53:01,27.3,64.9,465.14,0,NYALA
2026-05-27 23:53:04,34.9,67.3,128.59,1,NYALA
2026-05-27 23:53:07,33.8,55.5,223.18,0,NYALA
2026-05-27 23:53:10,32.2,65.3,405.46,0,NYALA
2026-05-27 23:53:13,37.4,67.9,539.06,0,NYALA
2026-05-27 23:53:16,31.6,62.5,285.84,0,MATI
2026-05-27 23:53:19,33.5,57.9,416.61,0,NYALA
2026-05-27 23:53:22,28.4,56.2,419.35,1,NYALA
2026-05-27 23:53:25,34.4,66.8,171.53,0,NYALA
2026-05-27 23:53:28,34.0,50.2,240.42,1,NYALA
2026-05-27 23:53:31,37.2,65.1,190.73,0,NYALA
2026-05-27 23:53:34,27.4,53.4,345.06,0,MATI
2026-05-27 23:53:37,37.6,66.5,343.11,0,NYALA
2026-05-27 23:53:40,36.9,61.7,341.38,0,NYALA
2026-05-27 23:53:43,30.5,60.4,113.54,0,MATI
2026-05-27 23:53:46,27.9,55.8,277.6,1,NYALA
2026-05-27 23:53:49,34.3,69.4,337.78,0,NYALA
2026-05-27 23:53:52,29.0,56.1,423.29,0,NYALA
2026-05-27 23:53:55,32.0,51.7,348.6,0,MATI
2026-05-27 23:53:58,33.7,63.9,250.05,0,NYALA
2026-05-27 23:54:01,33.1,63.2,103.67,0,NYALA
2026-05-27 23:54:04,26.4,53.9,378.63,1,NYALA
2026-05-27 23:54:07,33.0,59.9,174.64,1,NYALA
2026-05-27 23:54:10,35.6,68.2,107.48,1,NYALA
2026-05-27 23:54:13,34.4,65.6,360.15,0,NYALA
2026-05-27 23:54:16,37.5,65.3,291.26,1,NYALA
2026-05-27 23:54:19,36.5,65.0,487.58,1,NYALA
2026-05-27 23:54:22,24.6,54.0,151.02,0,MATI
2026-05-27 23:54:25,25.1,54.0,331.12,0,MATI
2026-05-27 23:54:28,31.9,59.5,240.87,0,MATI
2026-05-27 23:54:31,30.0,59.2,425.46,0,NYALA
2026-05-27 23:54:34,31.6,68.3,427.3,1,NYALA
2026-05-27 23:54:37,36.9,68.9,229.58,0,NYALA
2026-05-27 23:54:40,33.5,67.6,428.95,0,NYALA
2026-05-27 23:54:43,27.2,54.2,449.05,1,NYALA
2026-05-27 23:54:46,29.6,63.5,264.46,0,MATI
2026-05-27 23:54:49,27.5,59.1,233.21,0,MATI
2026-05-27 23:54:52,31.0,50.1,310.13,0,MATI
2026-05-27 23:54:55,29.7,57.5,468.91,0,NYALA
2026-05-27 23:54:58,26.0,50.1,118.58,0,MATI
2026-05-27 23:55:01,36.4,66.9,522.36,0,NYALA
2026-05-27 23:55:04,26.2,60.4,156.29,1,NYALA
2026-05-27 23:55:07,27.3,59.8,393.9,0,NYALA
2026-05-27 23:55:10,37.9,62.2,390.12,0,NYALA
2026-05-27 23:55:13,35.7,67.1,207.55,0,NYALA
2026-05-27 23:55:16,24.1,47.4,365.19,0,MATI
2026-05-27 23:55:19,28.2,61.4,464.21,0,NYALA
2026-05-27 23:55:22,30.2,66.8,482.26,0,NYALA
2026-05-27 23:55:25,31.6,59.9,106.02,1,NYALA
2026-05-27 23:55:28,28.2,61.1,406.32,1,NYALA
2026-05-27 23:55:31,30.9,55.5,228.01,1,NYALA
2026-05-27 23:55:34,36.0,62.7,199.72,0,NYALA
2026-05-27 23:55:37,34.5,62.4,196.54,0,NYALA
2026-05-27 23:55:40,29.1,69.0,435.62,0,NYALA
2026-05-27 23:55:43,32.2,69.2,452.33,0,NYALA
2026-05-27 23:55:46,36.6,67.9,328.3,0,NYALA
2026-05-27 23:55:49,30.5,63.0,542.3,1,NYALA
2026-05-27 23:55:52,24.3,53.1,540.53,0,NYALA
2026-05-27 23:55:55,24.9,52.2,305.21,0,MATI
2026-05-27 23:55:58,35.8,62.8,318.68,1,NYALA
2026-05-27 23:56:01,32.7,50.4,254.26,0,NYALA
2026-05-27 23:56:04,25.0,51.5,134.36,0,MATI
2026-05-27 23:56:07,30.2,52.7,278.75,0,MATI
2026-05-27 23:56:10,31.8,64.1,212.29,0,MATI
2026-05-27 23:56:13,24.3,54.5,352.52,0,MATI
2026-05-27 23:56:16,25.2,54.1,207.43,1,NYALA
2026-05-27 23:56:19,27.1,55.6,311.04,0,MATI
2026-05-27 23:56:22,24.7,45.2,206.94,0,MATI
2026-05-27 23:56:25,26.2,63.9,363.74,0,MATI
2026-05-27 23:56:28,26.1,64.2,451.52,0,NYALA
2026-05-27 23:56:31,26.4,64.5,300.69,1,NYALA
2026-05-27 23:56:34,32.1,66.6,435.94,0,NYALA
2026-05-27 23:56:37,30.4,55.8,153.79,0,MATI
2026-05-27 23:56:40,26.3,62.8,181.35,1,NYALA
2026-05-27 23:56:43,29.0,54.8,166.74,0,MATI
2026-05-27 23:56:46,36.9,61.7,295.74,1,NYALA
2026-05-27 23:56:49,30.4,58.4,113.83,1,NYALA
2026-05-27 23:56:52,26.1,64.0,115.87,1,NYALA
2026-05-27 23:56:55,32.5,60.4,245.03,1,NYALA
2026-05-27 23:56:58,32.6,61.1,504.96,0,NYALA
2026-05-27 23:57:01,35.3,66.2,130.98,1,NYALA
2026-05-27 23:57:04,26.2,64.9,193.5,0,MATI
2026-05-27 23:57:07,27.5,52.1,313.96,0,MATI
2026-05-27 23:57:10,26.2,57.8,331.2,0,MATI
2026-05-27 23:57:13,29.9,63.2,266.35,0,MATI
2026-05-27 23:57:16,36.5,67.4,369.49,0,NYALA
2026-05-27 23:57:19,38.0,73.2,478.89,0,NYALA
2026-05-27 23:57:22,36.7,63.6,231.67,0,NYALA
2026-05-27 23:57:25,28.6,54.4,359.95,0,MATI
2026-05-27 23:57:28,35.3,68.1,319.73,0,NYALA
2026-05-27 23:57:31,35.9,68.1,320.97,1,NYALA
2026-05-27 23:57:34,33.1,70.5,513.83,1,NYALA
2026-05-27 23:57:37,37.5,65.1,399.96,0,NYALA
2026-05-27 23:57:40,32.8,57.5,292.91,1,NYALA
2026-05-27 23:57:43,34.0,67.9,458.55,0,NYALA
2026-05-27 23:57:46,28.4,60.5,355.36,0,MATI
2026-05-27 23:57:49,31.4,69.3,541.35,0,NYALA
2026-05-27 23:57:52,33.9,59.3,424.86,1,NYALA
2026-05-27 23:57:55,31.3,51.4,203.5,0,MATI
2026-05-27 23:57:58,31.8,58.7,349.17,0,MATI
2026-05-27 23:58:01,26.4,50.5,277.27,0,MATI
2026-05-27 23:58:04,31.4,57.0,314.04,0,MATI
2026-05-27 23:58:07,36.3,65.4,254.81,0,NYALA
2026-05-27 23:58:10,27.5,54.3,153.75,0,MATI
2026-05-27 23:58:13,24.9,53.1,432.06,1,NYALA
2026-05-27 23:58:16,28.0,50.6,202.49,1,NYALA
2026-05-27 23:58:19,31.8,66.5,517.71,1,NYALA
2026-05-27 23:58:22,29.5,51.9,342.16,1,NYALA
2026-05-27 23:58:25,27.2,57.8,300.61,1,NYALA
2026-05-27 23:58:28,29.6,61.5,349.32,0,MATI
2026-05-27 23:58:31,34.1,62.2,304.54,0,NYALA
2026-05-27 23:58:34,36.9,66.2,238.58,0,NYALA
2026-05-27 23:58:37,33.4,51.3,243.96,0,NYALA
2026-05-27 23:58:40,30.8,50.8,105.3,1,NYALA
2026-05-27 23:58:43,36.7,65.3,367.67,0,NYALA
2026-05-27 23:58:46,36.2,71.2,408.37,0,NYALA
2026-05-27 23:58:49,35.7,67.3,202.78,1,NYALA
2026-05-27 23:58:52,25.2,54.8,333.98,0,MATI
2026-05-27 23:58:55,26.9,57.7,262.44,0,MATI
2026-05-27 23:58:58,34.1,70.0,513.98,1,NYALA
2026-05-27 23:59:01,29.2,54.1,125.58,1,NYALA
2026-05-27 23:59:04,33.8,56.6,170.48,0,NYALA
2026-05-27 23:59:07,35.9,62.9,432.71,1,NYALA
2026-05-27 23:59:10,32.9,64.4,260.12,1,NYALA
2026-05-27 23:59:13,25.7,59.5,511.43,0,NYALA
2026-05-27 23:59:16,24.7,49.1,202.19,0,MATI
2026-05-27 23:59:19,28.7,55.5,442.71,1,NYALA
2026-05-27 23:59:22,35.9,62.5,191.67,0,NYALA
2026-05-27 23:59:25,27.4,64.5,547.28,1,NYALA
2026-05-27 23:59:28,24.4,51.6,112.01,0,MATI
2026-05-27 23:59:31,35.9,62.8,188.95,0,NYALA
2026-05-27 23:59:34,36.9,69.5,260.12,0,NYALA
2026-05-27 23:59:37,25.3,52.4,364.91,0,MATI
2026-05-27 23:59:40,25.0,50.5,187.27,0,MATI
2026-05-27 23:59:43,37.8,66.1,316.59,0,NYALA
2026-05-27 23:59:46,27.1,56.3,171.61,1,NYALA
2026-05-27 23:59:49,24.7,47.5,364.21,0,MATI
2026-05-27 23:59:52,26.0,55.3,256.71,1,NYALA
2026-05-27 23:59:55,32.7,63.5,534.34,0,NYALA
2026-05-27 23:59:58,24.4,48.4,425.48,0,NYALA
2026-05-28 00:00:01,26.8,50.6,170.05,0,MATI
2026-05-28 00:00:04,37.7,74.8,401.08,0,NYALA
2026-05-28 00:00:07,36.9,67.3,434.82,1,NYALA
2026-05-28 00:00:10,32.1,57.4,251.38,0,NYALA
2026-05-28 00:00:13,27.7,57.1,257.08,0,MATI
2026-05-28 00:00:16,35.5,61.7,338.05,0,NYALA
2026-05-28 00:00:19,37.8,64.3,170.58,0,NYALA
2026-05-28 00:00:22,31.9,56.0,174.79,0,MATI
2026-05-28 00:00:25,36.8,66.2,230.11,1,NYALA
2026-05-28 00:00:28,26.0,59.5,308.71,0,MATI
2026-05-28 00:00:31,27.2,50.7,194.06,0,MATI
2026-05-28 00:00:34,37.6,63.7,305.07,0,NYALA
2026-05-28 00:00:37,28.7,59.4,394.34,0,NYALA
2026-05-28 00:00:40,25.6,50.0,222.24,0,MATI
2026-05-28 00:00:43,35.0,74.5,401.58,0,NYALA
2026-05-28 00:00:46,34.3,64.1,461.65,0,NYALA
2026-05-28 00:00:49,30.4,59.6,226.75,0,MATI
2026-05-28 00:00:52,31.9,50.4,176.16,0,MATI
2026-05-28 00:00:55,35.4,65.9,203.14,0,NYALA
2026-05-28 00:00:58,24.5,59.9,504.9,1,NYALA
2026-05-28 00:01:01,35.8,63.9,157.99,0,NYALA
2026-05-28 00:01:04,30.4,59.6,321.04,0,MATI
2026-05-28 00:01:07,32.6,56.9,399.96,0,NYALA
2026-05-28 00:01:10,24.9,58.1,455.88,1,NYALA
2026-05-28 00:01:13,29.0,55.8,393.25,1,NYALA
2026-05-28 00:01:16,31.8,71.8,443.24,0,NYALA
2026-05-28 00:01:19,31.9,52.9,233.67,1,NYALA
2026-05-28 00:01:22,32.7,53.6,516.59,0,NYALA
2026-05-28 00:01:25,34.5,62.7,462.25,1,NYALA
2026-05-28 00:01:28,37.5,69.3,540.77,1,NYALA
2026-05-28 00:01:31,25.8,55.3,469.32,0,NYALA
2026-05-28 00:01:34,34.9,60.2,384.49,0,NYALA
2026-05-28 00:01:37,36.5,68.1,255.01,0,NYALA
2026-05-28 00:01:40,25.0,47.8,364.33,0,MATI
2026-05-28 00:01:43,30.4,51.8,380.14,0,NYALA
2026-05-28 00:01:46,29.7,60.5,123.75,1,NYALA
2026-05-28 00:01:49,30.5,66.7,469.58,0,NYALA
2026-05-28 00:01:52,25.7,59.2,429.22,0,NYALA
2026-05-28 00:01:55,28.5,54.2,278.02,1,NYALA
2026-05-28 00:01:58,27.8,52.7,166.93,0,MATI
2026-05-28 00:02:01,33.0,61.3,377.23,0,NYALA
2026-05-28 00:02:04,37.4,76.0,496.15,0,NYALA
2026-05-28 00:02:07,24.6,49.1,285.17,0,MATI
2026-05-28 00:02:10,36.2,63.7,377.76,0,NYALA
2026-05-28 00:02:13,31.4,61.6,283.1,0,MATI
2026-05-28 00:02:16,32.1,55.1,124.98,0,NYALA
2026-05-27 23:52:25,28.8,64.0,173.0,0,MATI
2026-05-27 23:52:32,28.8,62.9,176.0,0,MATI
2026-05-27 23:52:38,28.8,56.4,169.0,0,MATI
2026-05-27 23:52:47,28.8,61.3,166.0,0,MATI
2026-05-27 23:52:54,28.8,61.3,175.0,0,MATI
2026-05-27 23:53:00,28.8,51.5,125.0,0,MATI
2026-05-27 23:53:06,28.8,63.5,160.0,0,MATI
2026-05-27 23:53:12,28.8,57.6,164.0,0,MATI
2026-05-27 23:53:18,28.8,62.4,122.0,0,MATI
2026-05-27 23:53:24,28.8,54.8,173.0,0,MATI
2026-05-27 23:53:31,28.8,63.4,112.0,0,MATI
2026-05-27 23:53:38,28.8,55.8,198.0,0,MATI
2026-05-27 23:53:46,28.8,50.2,176.0,0,MATI
2026-05-27 23:53:56,28.8,63.6,160.0,0,MATI
2026-05-27 23:54:03,28.8,51.4,162.0,0,MATI
2026-05-27 23:54:11,28.8,54.8,174.0,0,MATI
2026-05-27 23:54:19,28.8,64.3,48.0,0,MATI
2026-05-27 23:54:25,28.8,64.3,156.0,0,MATI
2026-05-27 23:54:36,28.8,58.6,173.0,0,MATI
2026-05-27 23:54:42,28.8,59.5,165.0,0,MATI
2026-05-27 23:54:51,28.8,56.7,171.0,0,MATI
2026-05-27 23:54:57,28.8,54.4,160.0,0,MATI
2026-05-27 23:55:04,28.8,54.9,210.0,0,MATI
2026-05-27 23:55:11,28.8,60.1,179.0,0,MATI
2026-05-27 23:55:19,28.8,61.3,176.0,0,MATI
2026-05-27 23:55:26,28.8,61.9,172.0,0,MATI
2026-05-27 23:55:33,28.8,61.8,169.0,0,MATI
2026-05-27 23:55:41,28.8,51.4,167.0,0,MATI
2026-05-27 23:55:49,28.8,57.4,169.0,0,MATI
2026-05-27 23:55:55,28.8,50.9,169.0,0,MATI
2026-05-27 23:56:01,28.9,58.2,187.0,0,MATI
2026-05-27 23:56:08,28.9,56.6,170.0,0,MATI
2026-05-27 23:56:15,28.9,63.3,176.0,0,MATI
2026-05-27 23:56:22,28.9,55.3,176.0,0,MATI
2026-05-27 23:56:29,28.9,51.8,174.0,0,MATI
2026-05-27 23:56:36,28.9,52.1,171.0,0,MATI
2026-05-27 23:56:47,28.9,61.4,159.0,0,MATI
2026-05-27 23:56:56,28.9,59.3,176.0,0,MATI
2026-05-27 23:57:03,28.9,51.5,176.0,0,MATI
2026-05-27 23:57:10,28.9,51.3,215.0,0,MATI
2026-05-27 23:57:17,28.9,60.5,208.0,0,MATI
2026-05-27 23:57:24,28.9,51.1,208.0,0,MATI
2026-05-27 23:57:30,28.9,62.3,174.0,0,MATI
2026-05-27 23:57:37,28.9,60.6,144.0,0,MATI
2026-05-27 23:57:44,28.9,51.2,149.0,0,MATI
2026-05-27 23:57:51,28.9,51.3,161.0,0,MATI
2026-05-27 23:57:58,28.9,64.8,176.0,0,MATI
2026-05-27 23:58:05,28.8,55.6,206.0,0,MATI
2026-05-27 23:58:13,28.9,55.6,173.0,0,MATI
2026-05-27 23:58:21,28.9,62.2,148.0,0,MATI
2026-05-27 23:58:29,28.9,64.2,161.0,0,MATI
2026-05-27 23:58:36,28.9,64.8,179.0,0,MATI
2026-05-27 23:58:44,28.9,61.3,163.0,0,MATI
2026-05-27 23:58:51,28.9,55.6,174.0,0,MATI
2026-05-27 23:58:59,28.9,51.3,177.0,0,MATI
2026-05-27 23:59:06,28.8,61.7,178.0,0,MATI
2026-05-27 23:59:11,28.8,58.4,178.0,0,MATI
2026-05-27 23:59:20,28.8,56.4,180.0,0,MATI
2026-05-27 23:59:27,28.8,63.6,172.0,0,MATI
2026-05-27 23:59:35,28.8,51.7,172.0,0,MATI
2026-05-27 23:59:43,28.9,57.4,176.0,0,MATI
2026-05-27 23:59:50,28.9,50.2,94.0,0,MATI
2026-05-27 23:59:57,28.9,57.0,170.0,0,MATI
2026-05-28 00:00:04,28.9,50.8,146.0,0,MATI
2026-05-28 00:00:12,28.9,51.8,176.0,0,MATI
2026-05-28 00:00:19,28.9,51.8,192.0,0,MATI
2026-05-28 00:00:26,28.9,59.7,158.0,1,NYALA
2026-05-28 00:00:34,28.9,61.2,258.0,0,MATI
2026-05-28 00:00:40,28.9,66.5,1805.0,0,NYALA
2026-05-28 00:00:46,28.9,59.3,1805.0,0,NYALA
2026-05-28 00:00:53,28.9,66.4,727.0,0,NYALA
2026-05-28 00:01:00,29.0,66.5,555.0,0,NYALA
2026-05-28 00:01:09,29.0,66.8,432.0,0,NYALA
2026-05-28 00:01:16,29.0,63.4,394.0,0,NYALA
2026-05-28 00:01:23,29.0,57.9,366.0,0,MATI
2026-05-28 00:01:30,29.0,64.9,366.0,0,MATI
2026-05-28 00:01:38,29.0,51.1,366.0,0,MATI
2026-05-28 00:01:46,29.0,58.3,366.0,0,MATI
2026-05-28 00:01:54,29.0,64.5,366.0,0,MATI
2026-05-28 00:02:03,29.0,57.8,366.0,0,MATI
2026-05-28 00:02:12,29.0,59.4,366.0,0,MATI
2026-05-28 00:02:19,29.0,60.4,366.0,0,MATI
2026-05-28 00:02:26,29.0,56.8,366.0,0,MATI
2026-05-28 00:02:34,29.0,59.4,366.0,0,MATI
2026-05-28 00:02:44,29.0,58.8,366.0,0,MATI
2026-05-28 00:02:53,29.0,63.5,366.0,0,MATI
2026-05-28 00:03:02,29.0,50.7,366.0,0,MATI
2026-05-28 00:03:09,29.0,54.2,366.0,0,MATI
2026-05-28 00:03:18,29.0,64.3,366.0,0,MATI
2026-05-28 00:03:27,29.0,63.4,366.0,0,MATI
2026-05-28 00:03:35,28.6,56.8,217.0,0,MATI
2026-05-28 00:03:43,28.7,59.3,208.0,0,MATI
2026-05-28 00:03:50,28.6,54.2,207.0,0,MATI
2026-05-28 00:03:57,28.6,52.8,203.0,0,MATI
2026-05-28 00:04:04,28.6,57.0,195.0,0,MATI
2026-05-28 00:04:11,28.6,55.3,201.0,0,MATI
2026-05-28 00:04:17,28.6,58.8,191.0,0,MATI
2026-05-28 00:04:24,28.6,51.2,33.0,0,MATI
2026-05-28 00:04:31,28.6,64.6,199.0,0,MATI
2026-05-28 00:04:40,28.6,64.8,202.0,0,MATI
